sample_name	unit_name	fq1	fq2	sra	read_format	call_peaks	input	peak_type	sample_group
SRR495376	SRR495376			SRR495376	SE	TRUE	SRR495379	broad	becker_H4K16ac
SRR495379	SRR495379			SRR495379	SE	FALSE			becker_input
SRR4000140	SRR4000140			SRR4000140	SE	TRUE		broad	adelman_H3K4me1
SRR4000142	SRR4000142			SRR4000142	SE	TRUE		broad	adelman_H3K4me3
SRR4000144	SRR4000144			SRR4000144	SE	TRUE		broad	adelman_H3K27ac
SRR4000145	SRR4000145			SRR4000145	SE	TRUE		broad	adelman_H3K27ac
SRR4000141	SRR4000141			SRR4000141	SE	TRUE		broad	adelman_H3K4me1
SRR4000143	SRR4000143			SRR4000143	SE	TRUE		broad	adelman_H3K4me3
SRR4000132	SRR4000132			SRR4000132	SE	FALSE			adelman_rpb3
SRR4000133	SRR4000133			SRR4000133	SE	FALSE			adelman_rpb3
SRR12982877	SRR12982877			SRR12982877	PE	FALSE			hannon_input
SRR12982878	SRR12982878			SRR12982878	PE	FALSE			hannon_input
SRR12982889	SRR12982889			SRR12982889	PE	TRUE	SRR12982877	broad	hannon_H3K9me3
SRR12982890	SRR12982890			SRR12982890	PE	TRUE	SRR12982878	broad	hannon_H3K9me3
SRR1732697	SRR1732697			SRR1732697	SE	FALSE			mannervik_input
SRR1732698	SRR1732698			SRR1732698	SE	TRUE	SRR1732697	narrow	mannervik_CBP_1
SRR1732699	SRR1732699			SRR1732699	SE	FALSE			mannervik_input
SRR1732700	SRR1732700			SRR1732700	SE	TRUE	SRR1732699	narrow	mannervik_CBP_2
SRR8637385	SRR8637385			SRR8637385	SE	FALSE			azorin_input
SRR8637386	SRR8637386			SRR8637386	SE	FALSE			azorin_input
SRR8637389	SRR8637389			SRR8637389	SE	FALSE			azorin_H1
SRR8637394	SRR8637394			SRR8637394	SE	FALSE			azorin_H1
SRR1391067	SRR1391067			SRR1391067	SE	FALSE			kuroda_HP1a
SRR1391068	SRR1391068			SRR1391068	SE	FALSE			kuroda_input
SRR1391069	SRR1391069			SRR1391069	SE	FALSE			kuroda_HP1a
SRR1391070	SRR1391070			SRR1391070	SE	FALSE			kuroda_input